player_id,session_date,session_type,created_at,updated_at
2,2025-06-25,hittrax,"2025-06-25 21:50:39.938 +00:00","2025-06-25 21:50:39.938 +00:00"
2,2025-06-25,hittrax,"2025-06-25 22:27:27.155 +00:00","2025-06-25 22:27:27.155 +00:00"
2,2025-06-25,hittrax,"2025-06-25 22:27:47.182 +00:00","2025-06-25 22:27:47.182 +00:00"
